"geschlecht";"spezialisierung_schule";"score_schule";"specialsisierung_hochschule";"score_hochschule";"berufserfahrung";"score_berufsfaehigkeit"
"M";"Handel";61,3;"HR";51,68;"Ja";65
"F";"Wissenschaft";60,4;"Fin";62,62;"Ja";93,7
"M";"Wissenschaft";65,5;"Fin";62,57;"Nein";58,2
"M";"Handel";71;"Fin";56,49;"Nein";68,8
"M";"Wissenschaft";63,7;"Fin";56,69;"Nein";73,5
"M";"Handel";76,1;"HR";61,72;"Nein";59,2
"F";"Handel";50,2;"HR";57,99;"Ja";60,4
"F";"Kunst";63;"HR";55,93;"Ja";80,6
"M";"Kunst";51,8;"Fin";57,82;"Nein";61,3
"F";"Kunst";70,2;"Fin";61,47;"Nein";59,4
"M";"Handel";59,6;"HR";57,2;"Ja";59,1
"M";"Handel";71,8;"Fin";54,53;"Ja";59,7
"F";"Handel";72,9;"HR";56,8;"Nein";49,8
"F";"Wissenschaft";61,9;"Fin";65,95;"Nein";100,2
"M";"Handel";60,3;"Fin";53,15;"Ja";77,9
"M";"Handel";69,79;"Fin";65,74;"Nein";94,7
"M";"Wissenschaft";38,2;"Fin";53,51;"Nein";64,6
"F";"Handel";64,3;"HR";62,08;"Nein";67,4
"M";"Handel";72,2;"Fin";56,6;"Ja";56,5
"M";"Handel";58,5;"Fin";53,01;"Nein";86,55
"M";"Handel";74,9;"Fin";63,49;"Nein";79,2
"M";"Wissenschaft";44,4;"HR";56,9;"Nein";90,89
"M";"Wissenschaft";62,2;"Fin";70,4;"Ja";85,1
"M";"Kunst";65,8;"Fin";76,99;"Ja";50,48
"M";"Wissenschaft";74,1;"Fin";67,17;"Ja";71,1
"M";"Wissenschaft";61,4;"Fin";61,71;"Nein";71,5
"F";"Handel";72,1;"Fin";68,69;"Ja";79,7
"F";"Handel";85,9;"Fin";68,83;"Nein";67,8
"M";"Handel";66,1;"Fin";61,44;"Nein";82
"M";"Handel";49,9;"HR";59,69;"Nein";60,8
"M";"Handel";67,3;"HR";53,79;"Ja";73,8
"M";"Wissenschaft";53,6;"HR";58,58;"Nein";75,9
"M";"Wissenschaft";73,3;"HR";77,36;"Ja";79,6
"F";"Handel";58;"HR";66,45;"Ja";56,59
"M";"Wissenschaft";67,8;"HR";53,31;"Nein";53,3
"F";"Handel";76,2;"Fin";67,86;"Nein";95,8
"F";"Wissenschaft";52,2;"HR";58,82;"Nein";65,5
"F";"Wissenschaft";60,2;"HR";66,56;"Nein";77,8
"M";"Wissenschaft";80;"Fin";67,09;"Ja";84,1
"M";"Handel";67,1;"Fin";49,79;"Nein";76,6
"M";"Wissenschaft";70,1;"HR";70,74;"Nein";86,6
"M";"Wissenschaft";52;"HR";63,57;"Nein";69,44
"M";"Wissenschaft";61,9;"Fin";74,81;"Ja";58,9
"M";"Handel";77,7;"Fin";61,49;"Nein";92,14
"M";"Handel";46,5;"Fin";56,33;"Nein";57,8
"M";"Handel";64,1;"Fin";55,27;"Nein";56,38
"M";"Handel";61,23;"HR";57,9;"Nein";65
"M";"Handel";88,8;"Fin";70,25;"Ja";90,1
"F";"Handel";69,8;"HR";73,36;"Nein";86,7
"F";"Handel";73,1;"Fin";68,1;"Ja";90,1
